__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__1 , 嘉里物流 签订 备忘录 老挝 发展 陆港
__label__2 , 嘉里物流 因获 董事 行使 购 股权 折让 发行 万股
__label__2 , 嘉里物流 月 日 行使 权 合共 发行 万股
__label__2 , 嘉里物流 马 荣楷 物流 业务 要守 攻个 项目 准备 出售 补充 子弹
__label__2 , 嘉里物流 因购 股权 获 行使 折让 合计 增发 万股
__label__2 , 嘉里物流 马 荣楷 中国 业务 表现 较差 怪 贸易 摩擦
__label__2 , 嘉里物流 年度 多赚 亿港元 派息 港仙
__label__2 , 嘉里物流 亿元 出售 两 货仓 料录 收益 亿元
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 万股
__label__2 , 嘉里物流 拟 分拆 并作 独立 上市
__label__2 , 嘉里物流 购 股权 获 行使 折价 发行 万股
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 股
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 万股
__label__2 , 嘉里物流 亚太区 物流 龙头 充分 享受 大湾区 政策 红利 后市 空间 广阔
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 万股
__label__2 , 嘉里物流 德勤 货 讯通 携手 区块 链 促进 全球物流 数码化
__label__2 , 嘉里物流 构建 香港 首家 一站式 肉类加工厂
__label__2 , 美银 美林 调整 招商局港口 嘉里物流 目标价 物流 港口 业 今年 存 较大 挑战
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 股
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 万股
__label__2 , 嘉里物流 分拆 上市 概念 短期 有望 平台 突破
__label__2 , 传 嘉里物流 分拆 泰国 业务 上市
__label__2 , 伍 建恒 接替 陈 锦宾 获任 嘉里物流 执董 职务
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 万股
__label__1 , 嘉里物流 斩获 年 两项 大奖
__label__2 , 大和 升 嘉里物流 目标价 港元 重申 买入 评级
__label__2 , 嘉里物流 购 股权 获 行使 折让 发行 股
__label__2 , 嘉里物流 因购 股权 获 行使 合计 发行 万股
__label__2 , 嘉里物流 雇员 董事 行使 购 股权 共 折让 发行 万股
__label__2 , 嘉里物流 因购 股权 获 行使 合计 发行 万股
__label__2 , 嘉里物流 因购 股权 获 行使 折让 发行 万股
__label__2 , 交银 国际 升 嘉里物流 目标 港元 评级 降至 中性
__label__2 , 嘉里物流 连续 三年 勇夺 彭博 商业 周刊 中文版 年度 上市企业 大奖
__label__2 , 嘉里物流 因购 股权 获 行使 合计 发行 万股
__label__3 , 利记 预期 年度 取得 股东 应 占 亏损
__label__3 , 利记 中期 由盈 转亏 股东 应 占 亏损 约 万港元
__label__3 , 利记 预计 中期 业绩 取得 股东 应 占 亏损
__label__1 , 利记 年度 溢利 增至 万港元 每股 派息 港元
__label__1 , 利记 中期 纯利 同比 大幅 上升 达 万港元
__label__1 , 港股 异动 利记 涨 预期 中期 纯利 劲 增超倍
__label__1 , 利记 获批 伦敦金属交易所 核准 采样 检测 商
__label__1 , 利记 获批 伦敦金属交易所 核准 採样 检测 商
__label__1 , 利记 附属 利宏 获准 参与 香港 期货交易
__label__1 , 利记 发盈警
__label__1 , 利记 全年 多赚 万 末期 息仙
__label__1 , 利记 取得 期货 合约 交易 牌照
__label__2 , 建溢集团 为降 成本 考虑 东南亚 建厂 不会 大湾区 投资 地产 业务
__label__3 , 建溢集团 中期 股东 应 占 溢利 同比 降至 万港元
__label__1 , 建溢集团 获 增持 万股
__label__1 , 大行 评级 银河国际 建溢集团 迎接 增长 引擎 目标价 港元
__label__1 , 建溢集团 获 美国 客户 授出 制造 游戏 产品 项目
__label__1 , 建溢集团 拟 斥资 超过 亿港元 收购 玻璃 加工 公司
__label__2 , 建溢集团 董事 行使 股份 期权 合计 发行 万股
__label__1 , 建溢集团 因购 股权 获悉 行使 发行 万股
__label__1 , 建溢集团 月 净利 同比 增长 万元
__label__1 , 建溢集团 月 日 举行 股东 周年 大会
__label__2 , 建溢集团 升食息 胜
__label__1 , 建溢集团 中期 多赚 近连 特別 股息 共派 港仙
__label__1 , 建溢集团 预计 中期 税后 溢利 同比 增长 约
__label__1 , 建滔 化工集团 减持 建溢集团 万股 套现 万 港币
__label__3 , 建溢集团 一名 独立 非 董事 罚款 万美元
__label__1 , 建溢集团 月 日 回购 万股 耗资 万 港币
__label__1 , 建溢集团 月 日 回购 万股 耗资 万 港币
__label__3 , 建溢集团 全年 盈转 亏 派息 仙
__label__1 , 建溢集团 获亿 定期 再融资 贷款
__label__3 , 减持 建溢集团 万股 套现 万 港币
__label__2 , 首钢资源 年度 股东 应 占 溢利 增至 亿港元 每股 派港 仙
__label__2 , 大摩 首钢资源 股价 日内 升予 大市 同步 评级
__label__3 , 首钢资源 中期 股东 应 占 溢利 减少 亿港元 每股 派息 港仙
__label__1 , 港股 异动 煤炭 供需 双 改善 首钢资源 涨
__label__1 , 港股 解盘 政策底 显现 恒指 突破 均线 地产股 王者归来
__label__1 , 江 领恩 获 任为 首钢资源 公司 秘书 授权代表
__label__1 , 江 领恩 接替 郑文静 获任 首钢资源 公司 秘书 授权代表
__label__1 , 首钢资源 年度 溢利 增长 亿港元
__label__1 , 预期 年度 业绩 大幅 扭亏为盈
__label__1 , 首钢资源 优质 纯 焦煤 企业 高 分红 低 估值
__label__2 , 首钢资源 丁汝 副 主席 兼 董事 总经理 转任 董事会 主席
__label__2 , 首钢资源 李少峰 调任 董事 总经理 丁汝 调任 董事会 主席
__label__1 , 首钢资源 首钢集团 签订 互相 买卖 产品 协议
__label__1 , 首钢资源 扭亏为盈 中期 净赚 亿港元 每股 派息 港仙
__label__1 , 港股 异动 首钢资源 发 盈喜 股价 涨
__label__1 , 首钢资源 预期 中期 业绩 扭亏为盈 净 溢利 逾 亿港元
__label__1 , 大摩 首钢资源 未来 天 股价 上升 评级 增持
__label__2 , 星谦发展 完成 出售 生产 电子产品 所用 胶 黏剂 业务
__label__2 , 星谦发展 月 日 注销 万股
__label__3 , 星谦发展 年度 业绩 由亏 转盈 万港元 每股 派息 港仙
__label__1 , 星谦发展 料 年度 转盈 不少 万港元
__label__1 , 星谦发展 预计 年度 业绩 同比 扭亏为盈 超 万港元
__label__2 , 星谦发展 月 日 注销 回购 股份 万股
__label__1 , 星谦发展 月 日 耗资 约 万港元 回购 万股
__label__1 , 星谦发展 月 日 耗资 约 万港元 回购 万股
__label__1 , 星谦发展 月 日 耗资 万港元 回购 万股
__label__1 , 星谦发展 月 日 耗资 万港元 回购 万股
__label__1 , 星谦发展 月 日 耗资 万港元 回购 万股
__label__1 , 星谦发展 月 日 耗资 万港元 回购 万股
__label__3 , 星谦发展 中期 纯利 降至 万港元
__label__3 , 盈警 星谦发展 料 中期 溢利 至少 同比 降
__label__1 , 沈凯 联获 任为 星谦发展 公司 秘书 授权代表
__label__1 , 星谦发展 拟 派发 末期 股息 每股 港仙
__label__3 , 星谦发展 年度 业绩 由盈 转亏 万港元 每股 派息 港元
__label__3 , 星谦发展 预计 财年 业绩 盈转 亏
__label__2 , 星谦发展 月 日 注销 万股
__label__1 , 星谦发展 溢价 发行 合共 万股 股份
__label__1 , 星谦发展 中期 多赚 万港元
__label__1 , 星谦发展 拟 月 日 派付 年度 股息 每股 港仙
__label__2 , 星谦发展 年度 少 赚 新 项目 需 集资
__label__1 , 星谦 化工 月 日 回购 万股 耗资 万 港币
__label__2 , 恒天 立信国际 控股 股东 贷款 融资 维持 特定 履约 责任
__label__2 , 中国恒天立信国际 附属 获授 合计 多亿港元 贷款
__label__2 , 中国恒天立信国际 实施 董事会 成员 多元化 政策
__label__2 , 中国恒天立信国际 批准 采纳 股息 政策
__label__2 , 中国恒天立信国际 年度 收入 增长 亿港元 每股 派港 仙
__label__2 , 年 棉纺织 行业 分析 智能 制造 绿色 环保 双 推动企业 转型 升级 发展
__label__2 , 中国恒天立信国际 授出 万元 贷款
__label__2 , 港股 今年 股票 跌幅 超恒 天 立信 错 杀 严重
__label__2 , 中国恒天立信国际 智能 制造 诠释 工业
__label__1 , 中国恒天立信国际 附属 获 银行 授出 多亿港元 贷款
__label__1 , 中国恒天立信国际 附属 子公司 拟 斥资 亿港元 收购 卓丰 控股
__label__1 , 两倍 净利 增长 全 业务 利润率 提升 恒天 立信 正 面临 资金 蠢蠢欲动
__label__1 , 恒天 立信 年度 纯利 大增 倍至 亿港元 全年 派息 港仙
__label__1 , 中国恒天立信国际 附属 获 银行 授出 最高 亿港元 融资
__label__1 , 最严 环保 杀 催生 印染 行业 升级 恒天 立信 携 顶尖 染整 设备 拥抱 机遇
__label__1 , 下游 加速 回暖 印染 设备 市占率 第一 恒天 立信 会 再创 高峰
__label__1 , 恒天 立信 制霸 全球 染整 设备 领域 背后 顶级 管理团队 支撑
__label__1 , 一颗 蒙尘 璀璨明珠 拥有 染整 设备 技术 绝对 霸主 地位 恒天 立信
__label__1 , 恒天 立信 若干 附属 获授 最高 约 亿港元 银行 融资
__label__1 , 恒天 立信 附属 获授 最高 约 亿港元 银行 融资
__label__1 , 恒天 立信 多家 全资 附属 获得 合计 最高 亿港元 融资 贷款
__label__1 , 恒天 立信 附属 拟 斥资 万元 恒天 嘉华 购买 设备
__label__1 , 恒天 立信 国资委 准 控股 股东 中国恒天 并入 国机集团
__label__1 , 恒天 立信 月 日 回购 万股 耗资 万 港币
__label__1 , 恒天 立信 回购 万股
__label__2 , 恒天 立信 下周一 开市 恢 復 买卖
__label__1 , 恒天 立信 母公司 中国恒天 拟 中国机械 工业 重组 月 日 复牌
__label__2 , 恒天 立信 母公司 划归 中国机械 工业 集团
__label__1 , 恒天 立信 获亿 银行 融资 额度
__label__3 , 恒富控股 年 股东 应 占 亏损 扩大 万港元
__label__3 , 李胜光 辞任 恒富控股 非 执行 董事 刘绮华 辞任 公司 秘书
__label__3 , 恒富控股 联营企业 附属 未 获得 招标 合约 正对 进行 减值 评估
__label__2 , 恒富控股 联营企业 合毅 国际 附属 公司 未能 获得 一项 招标 合约
__label__3 , 恒富控股 中期 净亏损 扩大 逾 倍至 万港元
__label__3 , 恒富控股 年净亏 收窄 万港元
__label__2 , 恒富控股 委任 王 科为 公司 执行 董事
__label__1 , 恒富控股 委任 王 科为 执行 董事 副总裁 职
__label__1 , 王珏 接替 巩 玉兰 获任 恒富控股 公司 秘书
__label__3 , 恒富控股 中期 净亏 收窄 万港元
__label__2 , 恆富 洽购 內地 非现金 支付 应用 產 品商
__label__3 , 安域亚洲 中期 净亏损 缩窄 万美元
__label__3 , 安域亚洲 中期 亏损 减少 万美元
__label__2 , 安域亚洲 委任 赖义 钧 执行 董事
__label__3 , 安域亚洲 年度 业绩 由盈 转亏 万美元
__label__3 , 安域亚洲 预期 年度 业绩 由盈 转亏
__label__3 , 安域亚洲 中期 净亏损 同比 扩大 倍至 万港元
__label__3 , 安域亚洲 预计 财年 中期 净亏损 同比 大幅 增加
__label__2 , 安域亚洲 发盈警
__label__3 , 安域亚洲 发盈 警料 半年 录 亏损
__label__2 , 中国环保科技 拟向 中菊 金融 发行 万港元 换 股债
__label__2 , 中国环保科技 司法 管理 安置 新加坡 附属 公司
__label__2 , 中国环保科技 拟向 中菊资管 出售 北京 医诺 医院 控股权
__label__3 , 中国环保科技 年 股东 应 占 亏损 扩大 倍至 亿港元 日复牌
__label__3 , 中国环保科技 董事会 宣布 万美元 可换 股 债券 发行 日期 无效
__label__2 , 中国环保科技 停牌 延迟 公布 年度 业绩
__label__2 , 中国环保科技 延迟 发布 年 业绩 月 日 停牌
__label__2 , 中国环保科技 拟 出售 万美元 年 转换 债券
__label__2 , 中国环保科技 获授 万港元 贷款
__label__3 , 中国环保科技 香港高等法院 取得 禁制令 阻止 提出 清盘 呈请
__label__2 , 潜在 投资者 拟 股权 债务 投资 中国环保科技 高达 亿港元
__label__3 , 中国环保科技 料去 年度 亏损 扩大
__label__3 , 无法 附属 行使 控制权 中国环保科技 预计 年度 亏损 扩大 逾
__label__3 , 中国环保科技 疑 挪用资金 罢免 行政 总裁
__label__3 , 中国环保科技 罢免 徐 小阳 行政 总裁 职务 主要 股东 疑 挪用 不少 万美元
__label__2 , 中国环保科技 拟 提早 赎回 万美元 可换 股 债券
__label__2 , 中国环保科技 批准 采纳 股息 政策
__label__3 , 违反 国家 水污染 防治法 北京 兴 科诚 环保 科技 公司 罚款 万元
__label__3 , 中国环保科技 澄清 公司 业务 营运 财务状况 均 属 正常
__label__3 , 弃保 潜逃 疑犯 李亮 持 中国环保科技 股权
__label__2 , 中国环保科技 新加坡 成立 生殖 医学 诊所
__label__3 , 中国环保科技 上半年 亏损 扩大 万元
__label__2 , 中国环保科技 拟 发行 万美元 可换 股 债券
__label__3 , 中国环保科技 年度 亏损 扩大 万港元
__label__1 , 中国 危废 处理 能力 缺口 达 万吨 苏伊士 拟 扩大 华 危废 业务
__label__1 , 中国环保科技 完成 发行 万美元 可换 股债
__label__3 , 中国环保科技 终止 发行 万美元 换股 债现 跌
__label__3 , 中国环保科技 发行 万美元 于年 到期 可换 股 债券 协议 失效
__label__1 , 中国环保科技 发行 万美元 可换 股 债券 换 股价 溢价
__label__3 , 中国环保科技 发行 万美元 可换 股 债券 认购 协议 失效
__label__3 , 中国环保科技 终止 发行 万美元 可换 股 债券
__label__1 , 溢价 发可换 股 债券 中国环保科技 暴涨
__label__3 , 中国环保科技 中期 净亏损 万港元
__label__1 , 转型 升级 雅洁 源年 同比 减少 亏损
__label__2 , 载思 中期 收入 上涨 警告 奢侈品 市场 悲转
__label__3 , 中期 亏损 收窄 万港元
__label__2 , 中期 股东 应 占 亏损 收窄 万元
__label__3 , 年度 亏损 增长 万港元
__label__3 , 时尚精品店 中期 亏损 万港元 老牌 买手 店 低谷 状况 频现
__label__3 , 香港 连锁 买手 店载思 集团 亏损 超 七成
__label__3 , 中期 净亏损 同比 扩大 万港元
__label__3 , 万港元 遭遇 巨亏
__label__2 , 中国华仁医疗 延迟 刊发 年 业绩
__label__2 , 中国华仁医疗 委任 香港 立信 德豪 调查 协助 独立 委员会
__label__3 , 中国华仁医疗 继续 从事 主要 业务 继续 停牌
__label__3 , 中国华仁医疗 行政 总裁 陈亮 国辞任
__label__3 , 陈亮 国辞任 中国华仁医疗 行政 总裁 继续 停牌
__label__2 , 中国华仁医疗 独立 委员会 正 采取措施 推进 调查
__label__3 , 中国华仁医疗 延迟 刊发 年 中期 业绩
__label__3 , 中国华仁医疗 料 年度 录得 重大 亏损
__label__3 , 中国华仁医疗 公告 存 问题 遭 香港 证监会 指令 停牌
__label__3 , 中国华仁医疗 年月日 须予 披露 交易 公告 存 重大 失实 责令 停牌
__label__2 , 康健 国际医疗 中国华仁医疗 港 证监 勒令 停牌
__label__2 , 中国华仁医疗 授出 亿份 购 股权
__label__3 , 港股 异动 中国华仁医疗 拟股 合股 股价 连日 下挫
__label__1 , 港股 讯 中国华仁医疗 升领 涨 医疗 设备 股
__label__3 , 中国华仁医疗 中期 净利 减至 万港元
__label__1 , 锐康药业 已获 华仁 医疗 要约 出售 股份
__label__1 , 中国华仁医疗 股东大会 出售 锐康药业 约 股权 决议案
__label__3 , 中国华仁医疗 要约 收购 新华通讯频媒 失效
__label__3 , 锐康 华仁 出售 锐康 现涨
__label__2 , 华仁 医疗 下跌 终止 出售 运动 健康 业务
__label__3 , 华仁 医疗 第二批 次 股份 转让 未获 股东 涉 亿股 锐康 股份
__label__2 , 能源 投资 赎回 亿可 换 股票
__label__2 , 能源 投资 完成 设立 物流 服务 合资 公司
__label__3 , 能源 投资 中期 扭亏为盈
__label__3 , 能源 投资 中期 业绩 由亏 转盈 万港元
__label__2 , 能源 投资 携手 烟台 杰瑞 拟 设立 能源投资基金
__label__1 , 能源 投资 获 股东 滕荣 松 增持 万股
__label__2 , 能源 投资 陈志武 辞任 独董 葛艾继 接任
__label__2 , 能源 投资 携 富士康 试水 物流 首批 罐箱 预计 月初 抵沪
__label__2 , 能源 投资 拟 万元 成立 物流 服务 合资 公司
__label__2 , 能源 投资 月 日 合计 注销 万股 回购 股份
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 月 日 耗资 万港元 回购 万股
__label__1 , 能源 拟 改名 能源 投资 有限公司 获 股东 投票
__label__1 , 业绩 会 直击 能源 战略 布局 优质 能源 资产 未来 拟朝 多元化 投资 发展
__label__1 , 能源 富士康 入股 具 战略意义 未有 具体 计划
__label__1 , 能源 年度 业绩 扭亏为盈 赚 万港元
__label__3 , 中海重工 主席 兼 执董 张士宏 减持 万股
__label__2 , 中海重工 拟 收购 建筑材料 供应链 服务商
__label__2 , 中海重工 拟 收购 一家 水泥 建材 公司 部份 股权
__label__3 , 中海重工 年 股东 应 占 亏损 扩大 倍至 亿港元
__label__3 , 中海重工 预期 年 亏损 可能 增加
__label__2 , 中海重工 出售 租赁 公司 二成 股权 现飙 逾
__label__2 , 中海重工 出售 融资 租赁 业务
__label__1 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__3 , 中海重工 仲裁 裁决 应付 予 客户 亿港元 款项
__label__2 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__2 , 中海重工 获 主席 兼 执董 李明三 日增 持 万股
__label__2 , 中海重工 伙 江西 造船 扬子江 船业 无锡 天石 成立 矿业 公司
__label__2 , 中海重工 成立 一家 合营 矿业 公司 重整 江西 造船 造船 业务
__label__3 , 受累 财报 停牌 新规 知名 股评 人列 中海重工 濒危 港股
__label__1 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__2 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__2 , 中海重工 获 主席 兼 执董 李明三 日增 持 万股
__label__2 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__3 , 中海重工 亿元 出售 江州 造船 资产 租 回
__label__2 , 中海重工 附属 先 售后 租回 生产 厂房 码头
__label__1 , 中海重工 获 主席 兼执 董李 明两 日增 持 万股
__label__2 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__2 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__2 , 中海重工 获 兼 执董 宣晶 合计 购入 万股
__label__2 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__3 , 中海重工 上半年 亏损 扩大 亿元
__label__3 , 中海重工 预期 中期 净亏损 有所增加
__label__3 , 中海重工 拟就 四艘 船舶 延迟 交付 进行 仲裁
__label__1 , 权益 变动 中海重工 获 主席 兼 执董 李明增 持 万股
__label__1 , 中海重工 获 主席 兼 执董 李明增 持 万股
__label__1 , 权益 变动 中海重工 获 主席 兼执 董李 明两 日增 持 万股
__label__1 , 权益 变动 中海重工 获 主席 兼执 董李 明两 日增 持 万股
__label__3 , 中海重工 年度 亏损 扩大 亿港元
__label__3 , 中海重工 预期 年度 亏损 可能 增加
__label__1 , 中海重工 瑞昌市政府 造船公司 订立 战略 合作意向 协议
__label__1 , 中海重工 完成 发行 亿港元 可换 股 债券
__label__2 , 卓悦控股 料年 净亏损 大幅 减少
__label__2 , 卓悦控股 获 主席 兼 行政 总裁 叶俊亨 增持 万股
__label__2 , 卓悦控股 获 主席 兼 行政 总裁 叶俊亨 增持 万股
__label__2 , 卓悦控股 中期 业绩 同比 扭亏为盈 万港元
__label__1 , 美容连锁店 巨头 卓悦 发布 盈喜 租金 开支 下降 促使 中期 扭亏为盈
__label__1 , 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 两 日增 持 万股
__label__1 , 权益 变动 卓悦控股 获 执行 董事 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 执行 董事 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 权益 变动 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__2 , 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 卓悦控股 获 副 主席 兼 执董 陈健文 增持 万股
__label__1 , 卓悦控股 业绩 回暖 加 管理层 增持 股价 持续 上涨
__label__3 , 卓悦 年 亏损 收窄 继续 力推 电商 业务
__label__1 , 卓悦控股 获 副 主席 兼 执董 陈健文 二 日增 持 万股
__label__1 , 卓悦控股 获执 董尹 熖 强 增持 万股
__label__3 , 亏损 加剧 莎莎 卓悦 前途 待考
__label__3 , 卓悦控股 年度 亏损 增至 亿港元
__label__1 , 卓悦控股 获 执行 董事 尹 熖 强 增持 万股
__label__3 , 卓悦控股 预计 年度 亏损 显著 增加
__label__3 , 卓悦控股 独立 非 执行 董事 香港 会计师 公会 谴责 行政 罚款
__label__3 , 卓悦控股 中期 净亏损 同比 扩大 倍至 万港元
__label__1 , 连敬涵 零售 改善 莎莎 报喜
__label__1 , 锺 佩云 增持 卓悦控股 万股 耗资 万 港币
__label__3 , 卓悦控股 中期 毛利率 降至
__label__2 , 卓悦 挫 一成 去年 持续 经营 溢利 插 八成
__label__1 , 卓悦控股 去年 多赚 派息 仙
__label__1 , 卓悦控股 发 盈喜 预期 去年底 止 年度 综合 纯利 年 录得 明显 上升
__label__1 , 卓悦控股 股价 爆升
__label__2 , 力宝 香港 华人 附属 逾 亿售星 合营 权益
__label__2 , 香港 华人 获 控股 股东 李棕 增持 万股
__label__2 , 香港 华人 获 控股 股东 李棕 三 日增 持 万股
__label__3 , 香港 华人 中期 转亏 亿 股息 仙
__label__3 , 香港 华人 料 中期 盈转 亏
__label__2 , 香港 第一家 中医院 东华 三院 百年 守望
__label__1 , 香港华人有限公司 年度 股东 应 占 溢利 增 倍至 亿港元 每股 派息 港仙
__label__1 , 香港华人有限公司 年度 纯利 大增 逾倍 每股 派息 港仙
__label__1 , 香港华人有限公司 力宝 透过 附属 增持 公司 亿股 股份
__label__1 , 香港 华人 预期 前 月 取得 分 占 合营企业 溢利 多于 万港元
__label__1 , 香港华人有限公司 拟售 澳门华人银行 权益 已获 澳门 金管局 批准
__label__2 , 香港华人有限公司 更改 香港 主要 营业 地点
__label__3 , 香港华人有限公司 公司 秘书 侯达 光 辞职 黄焕 根 接任
__label__2 , 侯达 光辞任 香港华人有限公司 公司 秘书 授权代表 黄焕 根 接任
__label__3 , 香港 华人 财年 少 赚 末期 息仙
__label__3 , 香港 华人 料 全年 分 占 合营 公司 亏损
__label__3 , 香港 华人 预期 年度 分 占 合营 亏损 不少 万港元
__label__3 , 香港 华人 中期 少 赚 每股 派息 仙
__label__1 , 香港 华人 半年 转 赚 亿元 派息 仙
__label__1 , 香港 华人 全年 多赚 派息 仙
__label__2 , 复星 旅文 你好
__label__2 , 郭广昌 股市 点时 应 谨慎 点时 贪婪
__label__2 , 郭广昌 股市 点 价值 应该 贪婪
__label__2 , 王灿 获任 复星国际 首席 发展 官 薛 林楠 接替 首席财务官 职位
__label__2 , 复星国际 委任 王灿 首席 发展 官以 推进 复星 生态 产品 品牌
__label__1 , 外媒 复星 有意 部分 收购 英国 旅游 集团
__label__2 , 徐晓亮 复星 年 成长史 今天 谈起 复星 想 说 复星 一直 一家 创业 公司 一直 创业 路上 复星国际 执行 董事 兼 联席 总裁 豫园股份 董事长 徐晓亮 说起 复星 一脸 兴奋 满满 激情
__label__2 , 复星国际 业绩 超 预期 全年 投资 超过 亿
__label__2 , 社会 资本 驶入 冰雪 产业 快车道
__label__2 , 百强 名企 专访 复星国际 全球 布局 攻守 之道 全球 布局 主角
__label__2 , 复星国际 营收 首破 千亿 青睐 海外投资 项目
__label__2 , 第七批 添家 公司 大有来头 影子 股
__label__2 , 乐鑫 科技 冲刺 科创 板 背后 影子 股有 京东方 巨头
__label__2 , 复星国际 调整 组织 架构 多个 产业 板块 准备 上市
__label__2 , 复星 要约 收购 股份 计划 获批 最多 耗资 万 欧元
__label__2 , 复星国际 要约 收购 文件 已获 德国联邦金融监管局 批准
__label__2 , 复星国际 去年 营收 首破 千亿元 公司 高管 阐释 未来 投资 运营 方法论
__label__3 , 复星 保险 板块 归母 利润 下滑 国内 保险业务 拖后腿
__label__2 , 复星国际 陈启宇 希望 复星系 创新企业 能够 借助 科创 板 更 快速 发展
__label__2 , 年 盈利 创新高 复星 投
__label__2 , 年 复星 对外 投资 亿元 项目 退出 回笼资金 亿元
__label__2 , 复星国际 授出 万份 购 股权 涉资 亿港元
__label__2 , 复星国际 股份 奖励 计划 授出 万股 新 股份
__label__2 , 复星国际 授出 万份 购 股权
__label__2 , 复星国际 旗下 公司 陆续 申请 登陆 科创 板
__label__2 , 复星 业绩 会速览 郭广昌 十提 机会 回应 是否 考虑 科创 板
__label__2 , 郭广昌 复星 中国 市场 持 乐观 态度 机会 足够
__label__2 , 复星国际 去年 退出 项目 回笼资金 亿元
__label__2 , 汪群斌 复星国际 核心 基础 产业 运营
__label__3 , 郭广昌 复星国际 投资 扩展 至能 扭亏 企业
__label__3 , 直接 关系 钱包 晚会 曝光 问题 回应
__label__3 , 环科国际 中期 亏损 扩大 万港元
__label__3 , 环科国际 全年 亏损 万 派息
__label__3 , 环科国际 年度 业绩 亏损 轻微 收窄 万港元
__label__3 , 环科国际 中期 亏损 收窄 万港元
__label__3 , 环科国际 中期 亏损 减少 万港元
__label__3 , 环科国际 澄清 授予 董事 购 股权 行使 价为 港元
__label__2 , 环科国际 向名 董事 授出 万份 购 股权
__label__3 , 中国高速传动 年 股东 应 占 利润 同比 下滑 亿元
__label__3 , 中国高速传动 料去 年度 纯利 下跌
__label__3 , 中国高速传动 预期 年度 股东 应 占 溢利 跌约
__label__2 , 全力 发展 先进 制造 南高齿 年 欧美 订单 预计 大幅 增长
__label__2 , 中国高速传动 拟 聘任 罗兵咸 永道 会计师 事务 新 核数师
__label__2 , 中国高速传动 亿售家 公司 股权
__label__3 , 中国高速传动 拟 亿元 出售 亏损 业务
__label__2 , 中国高速传动 南京 高精 传动 前 月 归母 净利润 亿元
__label__3 , 中国高速传动 日 停牌 原因 公布
__label__2 , 丰盛控股 潜在 要约 进行 讨论 月 日 复牌
__label__3 , 中国高速传动 日 停牌 原因 公布
__label__3 , 新东家 债券 违约 负面 缠身 中国高速传动 挫
__label__3 , 中 传动 跌 逾 收购人 指陷 流动性 危机
__label__3 , 亿 债券 违约 浙江 女 首富 陷 流动性 危机 两天 前 说 从头再来
__label__2 , 丰盛控股 仍未 要约 签订 正式 协议
__label__3 , 中国高速传动 中期 股东 应 占 溢利 同比 降至 亿元
__label__3 , 中国高速传动 预期 中期 净利润 减少
__label__1 , 丰盛控股 拟 转让 股 中国高速传动 最高价 亿
__label__1 , 中国高速传动 新光圆成 可能 收购 拟备 各项 申报 资料
__label__3 , 中国高速传动 南京 高精 传动 一季度 亏损 亿元
__label__3 , 中国高速传动 南京 高精 传动 一季度 净亏 亿元
__label__3 , 中国高速传动 绩后 股价 表现 不佳今 大跌 近
__label__1 , 龙源电力 现升 逾 见 一年 高 首季 发电量 增 两成
__label__1 , 中国高速传动 预期 年度 业绩 减少
